"KGS_ID","Latitude","Longitude","Location","Operator","Lease","API","Elevation","Elev_Ref","Depth_start","Depth_stop","URL"
"1028187622","39.9834396","-97.1993748","T1S R2E, Sec. 10,   NW SW NW","KANSAS GEOLOGICAL SURVEY","W. GAYDUSEK II 1","","1599"," KB","50.5","525","http://www.kgs.ku.edu/WellLogs/01S02E/1020069094.zip"
"1044172351","39.943543","-95.9362942","T1S R13E, Sec. 23,  W2 SE SW SW","Kinney Oil Company","Baumgartner 1-23 1","15-131-20234","1215"," KB","1814.2","2096.2","http://www.kgs.ku.edu/WellLogs/kcc_logs_2015/1044966705.zip"
"1044172351","39.943543","-95.9362942","T1S R13E, Sec. 23,  W2 SE SW SW","Kinney Oil Company","Baumgartner 1-23 1","15-131-20234","1215"," KB","240","2096.4","http://www.kgs.ku.edu/WellLogs/kcc_logs_2015/1044966704.zip"
"1044022696","39.9922049","-95.7990789","T1S R14E, Sec. 1,  SW NE NE SW","Wolf Operating LLC","Stalder-Adams 1-1","15-131-20225","1130"," KB","185.2","3663.2","http://www.kgs.ku.edu/WellLogs/kcc_logs_2014/1044839433.zip"
"1044022696","39.9922049","-95.7990789","T1S R14E, Sec. 1,  SW NE NE SW","Wolf Operating LLC","Stalder-Adams 1-1","15-131-20225","1130"," KB","3319.6","3663.6","http://www.kgs.ku.edu/WellLogs/kcc_logs_2014/1044839435.zip"
"1002934584","39.9604344","-95.8200108","T1S R14E, Sec. 14,   NW SE SW","ROXY RESOURCES","SCHNEIDER 1-14","15-131-20046","1204"," KB","230","3945","http://www.kgs.ku.edu/WellLogs/01S14E/1044219060.zip"
"1043239054","39.9585958","-95.8891193","T1S R14E, Sec. 18,  NW SE SW SE","Kinney Oil Company","Meyer 1-18","15-131-20217","1349"," KB","245","4082.5","http://www.kgs.ku.edu/WellLogs/kcc_logs_2013/1044249719.zip"
"1043624968","39.9347755","-95.8303409","T1S R14E, Sec. 27,   N2 N2 SE","Kinney Oil Company","Strahm 2-27","15-131-20222","1326"," KB","3677.5","3968.5","http://www.kgs.ku.edu/WellLogs/kcc_logs_2014/1044753578.zip"
"1043624968","39.9347755","-95.8303409","T1S R14E, Sec. 27,   N2 N2 SE","Kinney Oil Company","Strahm 2-27","15-131-20222","1326"," KB","188","3968.5","http://www.kgs.ku.edu/WellLogs/kcc_logs_2014/1044753584.zip"
"1043564848","39.9167311","-95.8442849","T1S R14E, Sec. 34,  NW NW SW SW","Kinney Oil Company","Hartter 1-34","15-131-20220","1340"," KB","181.5","4003.5","http://www.kgs.ku.edu/WellLogs/kcc_logs_2014/1044753566.zip"
"1043564848","39.9167311","-95.8442849","T1S R14E, Sec. 34,  NW NW SW SW","Kinney Oil Company","Hartter 1-34","15-131-20220","1340"," KB","3671","3998","http://www.kgs.ku.edu/WellLogs/kcc_logs_2014/1044753567.zip"
"1033438578","39.927612","-95.5447347","T1S R17E, Sec. 32,   NW NW NW","W. T. W. Operating, LLC","Wilson 1","15-013-20033","1009"," KB","344","5780","http://www.kgs.ku.edu/WellLogs/01S17E/1044170350.zip"
"1043690768","39.9003075","-95.9215417","T2S R13E, Sec. 2,   SE SE SE","Kinney Oil Company","Woody Acres 1-2","15-131-20223","1254"," KB","223.5","2364.5","http://www.kgs.ku.edu/WellLogs/kcc_logs_2014/1044753589.zip"
"1043690768","39.9003075","-95.9215417","T2S R13E, Sec. 2,   SE SE SE","Kinney Oil Company","Woody Acres 1-2","15-131-20223","1254"," KB","245","2365","http://www.kgs.ku.edu/WellLogs/kcc_logs_2014/1044753592.zip"
"1043239055","39.9085012","-95.8683566","T2S R14E, Sec. 5,  S2 N2 S2 NE","Kinney Oil Company","Edelman 1-5","15-131-20218","1344"," KB","245","4020.5","http://www.kgs.ku.edu/WellLogs/kcc_logs_2013/1044249738.zip"
"1002906994","39.8848839","-95.3202482","T2S R19E, Sec. 17,   NW NW NW","WHITE KENNETH S ETAL","HARGIS 1","15-043-20022","960"," KB","0","3130","http://www.kgs.ku.edu/WellLogs/02S19E/1044170352.zip"
"1002880630","39.8255717","-96.3168846","T3S R10E, Sec. 5, C   NE NE","Venus Oil Co. and others","Swanson 1","15-117-20008","1360"," GL","50","1078","http://www.kgs.ku.edu/WellLogs/03S10E/1044077634.zip"
